czywiesz4068	z jakiego powodu zwołano synod w Whitby?	Wśród mnichów i mniszek mieszkających w Whitby, znajduje się wiele osób czczonych jako święte: św. Hilda - pochodząca z dynastii rządzącej Northumbrią, pierwsza ksieni opactwa; św. Edwin - król Northumbrii; św. Cedmon z Whitby - poeta; św. Bergu - mniszka i dziewica, miała wizję duszy św. Hildy w dniu jej śmierci; św. Trumwin - biskup Abercorn, schronił się w Whitby przed prześladowaniem; św. Elfleda - córka Oswiu, przysłana do klasztoru po jego klęsce w bitwie z Pendą z Mercji św. Bosa - biskup Yorku; św. Wilfrid - biskup Yorku; św. Enfleda - córka św. Edwina i żona św. Oswiu	0
czywiesz848	na czym polega podobieństwo związków chemicznych?	Ogólnie mówiąc, farmakognozja odnosi się do takich substancji pochodzących z natury, których przetworzenie do postaci leków polega jedynie na prostym odseparowaniu składników czynnych od substancji balastowych, a nie zajmuje się syntezą leków, a więc nie zajmuje się substancjami chemicznymi w roślinach, które mogą służyć jako surowiec do produkcji innych związków chemicznych.	0
czywiesz3401	jakie choroby genetyczne dziedziczą się autosomalnie dominująco?	Nerwiakowłókniakowatości (neurofibromatozy, łac. neurofibromatoses) są grupą chorób genetycznych dziedziczonych autosomalnie dominująco cechujących się obecnością licznych, niezłośliwych nowotworów pochodzenia nerwowego.	1
czywiesz1876	czyim imieniem nazwano jedną z Wysp Kanaryjskich?	W 1999 nazwano jego imieniem jedną z asteroid: 10149 Cavagna.	0
czywiesz97	czyj pomnik znajduje się na placu Sejmu Śląskiego w Katowicach?	Plac nosi imię Walentego Fojkisa − powstańca oraz działacza narodowego i niepodległościowego na Górnym Śląsku, urodzonego w Wełnowcu. Na placu znajduje się pomnik, upamiętniający poległych weteranów powstań śląskich 1929, 1939, 1945.	0
czywiesz566	czym zajmowali się świątnicy?	Świątnik – osoba, która dawniej zajmowała się obsługą kościoła (świątyni).	1
czywiesz2405	kto w księdze metrykalnej opactwa Cystersów w Jemielnicy pod datą 24 listopada 1810 roku zanotował: „O godzinie czwartej po południu UMARŁ KLASZTOR”?	" Ostatni opat jemielnicki Eugen Staniczka w księdze metrykalnej pod datą 24 listopada 1810 zanotował: ""O godzinie czwartej po południu UMARŁ KLASZTOR"". Cystersi nie powrócili już nigdy do Jemielnicy. "	1
czywiesz152	po ilu latach odtworzono wysadzony w 1945 roku pomnik Josepha von Eichendorffa w Raciborzu-Brzeziu?	"Występ z okazji ponownego odsłonięcia pomnika Josepha von Eichendorffa w Raciborzu (1994) Występ z okazji pierwszego po II wojnie Zjazdu Raciborzan w rodzinnym mieście (1998) Występ przed publicznością Kolegium Nauczycielskiego w Dniach Kultury Europejskiej (2000) Występ w 1986 roku w katedrze koszalińskiej Występ na owarcie Mistrzostwa świata Juniorów w Akrobatyce Artystycznej w katowickim ""Spodku"" (1989) Koncert w 1995 roku podczas Krajowego Sympozjum Chemicznego w Książu k. Wałbrzycha Wspólny koncert w 1997 wspólnie z chórem dziecięcym z Japonii."	0
czywiesz3784	ile osób zmieści się w największej szanghajskiej świątyni katolickiej?	Pochodził ze wsi Wanglou, położonej na obszarze dzisiejszej szanghajskiej dzielnicy Pudong. W latach 1928-1932 przebywał we Francji, gdzie studiował na wydziale sztuki Uniwersytetu Paryskiego. Po powrocie do Chin osiedlił się w Szanghaju, gdzie pracował jako dziennikarz i krytyk literacki.	0
czywiesz3959	kto zwyciężył w I Międzynarodowym Konkursie Pianistycznym im. Fryderyka Chopina w 1927 roku?	W 1927 roku wziął udział w I Międzynarodowym Konkursie Pianistycznym im. Fryderyka Chopina w Warszawie, gdzie został laureatem IV nagrody.	0
czywiesz318	cadykiem którego miasta był Jaakow Jicchak Dan Landau?	Jicchak Jaakow Rabinowicz (zm. 30 marca 1905 w Szydłowcu) – rabin chasydzki, cadyk z Białej Rawskiej.	0
czywiesz4552	lądowanie której misji programu Apollo zabezpieczał lotniskowiec USS Yorktown (CV-10)?	"Nazwę USS ""Yorktown"" nosiło 5 okrętów amerykańskich, z których najbardziej znany to lotniskowiec z początkowego okresu II wojny światowej: Pierwszy ""Yorktown"" był 16 działowym slupem wojennym, który był w służbie w latach 1840-1850 i zatonął na rafie Drugi ""Yorktown"" był kanonierką, która była w służbie w latach 1889-1921 Trzeci ""Yorktown"" (CV-5) był lotniskowcem z 1937 typu Yorktown Czwarty ""Yorktown"" (CV-10) był lotniskowcem z 1943 typu Essex."	0
czywiesz914	jaki pomnik odsłonięto we Lwowie 3 lipca 2011 roku?	Budowę pomnika zaakceptowała w roku 2011 Rada Warszawy mimo wcześniejszego sprzeciwu radnych PiS dzielnicy Śródmieście. Obecny pomnik Napoleona odsłonięty został w dniu 5 maja 2011, w 190. rocznicę śmierci cesarza Francuzów.	0
czywiesz1686	podczas jakiego święta śpiewany jest Psalm 47?	Gloria Patri jest śpiewana podczas: modlitwy porannej: na zakończenie ingresu (Ps 51,17 i Ps 71,12), na zakończenie Psalmu 148 (lub innej pieśni pochwalnej), przed wykładem Słowa Bożego – w trakcie responsorium (Ps 86,11) oraz na zakończenie hymnu pochwalnego Zachariasza (Łk 1,68–79) lub Te Deum, modlitwy południowej: na zakończenie ingresu (Ps 31,16–17), na zakończenie Psalmu 36 (lub pieśni) oraz po rozważaniu Biblii w trakcie responsorium (Ps 119,89–90), modlitwy wieczornej: na zakończenie ingresu (Łk 24,29), na zakończenie Psalmu 34 (lub pieśni) oraz przed wykładem Słowa Bożego – w trakcie responsorium (Ps 119,105), modlitwy nocnej: na zakończenie ingresu, na zakończenie Psalmu 23 (lub pieśni), po czytaniu Słowa Bożego – w trakcie responsorium (Łk 23,46) oraz na zakończenie hymnu pochwalnego Symeona (Łk 2,29–31).	0
czywiesz1475	kiedy w polskim Kościele katolickim obchodzony jest Dzień Solidarności z Kościołem Prześladowanym?	W 2011 bp Gassis gościł w Polsce z okazji III Dnia Solidarności z Kościołem Prześladowanym.	0
czywiesz3527	kiedy chiński oszczepnik Wang Qingbo ustanowił najlepszy w historii wynik wśród juniorów młodszych?	W swoim trzecim starcie w 2002 roku oszczepnik 16 czerwca podczas memoriału Kusocińskiego ustanowił wynikiem 78,90 rekord Polski juniorów.	0
czywiesz3792	dlaczego podszczecińskie Jezioro Pilchowskie na współczesnych mapach nosi nazwę Bagna Pilchowskie?	Płynie na Bagna Pilchowskie przez Puszczę Wkrzańską i wieś Pilchowo.	0
czywiesz34	kto był tłumaczem języka angielskiego u Mao Zedonga?	Huang Hua był również tłumaczem z języka angielskiego dla Mao Zedonga.	1
czywiesz3742	jakie konkurencje lekkoatletyczne uprawiali rodzice mistrza świata juniorów z 2010 roku w pchnięciu kulą, Nowozelandczyka Jacko Gilla?	Okazjonalnie startuje także w pchnięciu kulą. W tej konkurencji odpadła w eliminacjach mistrzostw świata juniorów młodszych (2007) oraz mistrzostw świata juniorów (2008). W 2009 roku była piąta w kuli na mistrzostwach Europy juniorów, a rok później z wynikiem 15,57 wygrała II ligę drużynowych mistrzostw Europy.	0
czywiesz1626	jak promieniowanie słoneczne może napędzać pojazd kosmiczny z żaglem?	"Promieniowanie słoneczne wywiera niewielkie, ale realne, ciśnienie na powierzchnie, na które pada. Czy w warunkach próżni międzyplanetarnej siła ta mogłaby napędzać statki kosmiczne? Na oceanie im większa powierzchnia żagla, tym mocniej ""ciągnie"" on kadłub; jak duży musiałby być żagiel słoneczny, by napędzać kosmiczny żaglowiec?"	1
czywiesz3091	kto spośród ugrupowania Dziesięciu Amerykańskich Malarzy był wziętym muralistą w Ameryce na przełomie XIX i XX wieku?	Na przełomie XIX i XX wieku w kilku dużych metropoliach powstały systemy tramwajów linowych, jednak zaprzestano ich stosowania z biegiem czasu. Spośród krajów europejskich można wymienić: Wielka Brytania (8 linii, w tym 2 w Londynie), Portugalia (2 linie w Lizbonie), Francja (jedna linia w Paryżu) W Australii i Nowej Zelandii pasażerów obsługiwało 7 linii tramwajów linowych, ale ten środek transportu najbardziej rozpowszechniony był jednak na terenie Stanów Zjednoczonych: San Francisco (8 linii, z czego 3 działają do dziś), Nowy Jork (7 linii), Kansas City (6 linii), Saint Louis (6 linii) Seattle (5 linii), Los Angeles (3 linie) Denver (2 linie) oraz kilka innych mniejszych miast amerykańskich.	0
czywiesz1177	czyje dzieła publikowane są przez wydawnictwo Rowohlt?	Pod firmą Rowohlta powstały dalsze wydawnictwa. Wydawnictwo wydaje dzieła autorów międzynarodowych takich jak Paul Auster, Simone de Beauvoir, Albert Camus, Roald Dahl, Jeffrey Eugenides, Jon Fosse, Jonathan Franzen, Stephen Hawking, Ernest Hemingway, Denis Johnson, Cormac McCarthy, Toni Morrison, Harold Pinter, Thomas Pynchon, Philip Roth, José Saramago czy John Updike. Publikuje także prace autorów niemieckojęzycznych m.in. Wolfganga Borcherta, C. W. Cerama, Hansa Fallady, Joachima Festa, Elfriede Jelinek, Eriki Mann, Klausa Manna, Daniela Kehlmanna, Kurta Tucholskiego czy Martina Walsera.	1
czywiesz103	kto był pierwszym wykonawcą piosenki Have Yourself a Merry Little Christmas?	"""What Kind of Man Is This"" - 3:29 ""The Christmas Song"" (Torme, Wells) - 5:22 ""All Night, All Day"" - 6:05 ""Have Yourself a Merry Little Christmas"" - 5:01 ""Oh, Happy Day"" - 6:53 ""Rudolph the Red-Nosed Reindeer"" (Marks) - 4:13 ""Hark!"	0
czywiesz4499	na którym miejscu listy Billboard 200 zadebiutował In Sorte Diaboli?	In Sorte Diaboli	0
czywiesz2824	czym zajmuje się instytut badawczy Juliusa Kühna?	Instytut Chemii i Techniki Jądrowej – to instytut badawczy zajmujący się badaniami z dziedziny techniki jądrowej, z siedzibą w Warszawie na Żeraniu, a podlegający pod Ministra Gospodarki.	0
czywiesz2965	ile płyt w ciągu swej kariery sprzedał brazylijski piosenkarz Roberto Carlos?	Klaudia Carlos - prezenterka telewizyjna Roberto Carlos Roberto Carlos da Silva - piłkarz brazylijski Roberto Carlos - piłkarz hiszpański Roberto Carlos - piosenkarz brazylijski	0
